0: [20, 35, 42, 59, 73, 79, 82, 84, 87, 92]
1: [1, 37, 45, 45, 52, 52, 58, 62, 78, 88]
2: [12, 58, 62, 65, 68, 72, 76, 79, 92, 96]
3: [21, 30, 31, 32, 35, 43, 68, 70, 77, 86]
4: [3, 3, 25, 28, 37, 47, 50, 61, 82, 87]
5: [6, 13, 26, 42, 46, 64, 65, 65, 70, 84]
6: [0, 8, 10, 16, 23, 36, 43, 49, 56, 72]
7: [6, 16, 33, 37, 43, 53, 63, 64, 72, 82]
8: [3, 23, 25, 29, 29, 40, 62, 68, 87, 97]
9: [15, 18, 22, 22, 26, 40, 44, 54, 69, 94]
10: [0, 25, 53, 55, 75, 81, 81, 89, 91, 98]
11: [1, 8, 13, 47, 48, 58, 58, 64, 73, 86]
12: [11, 15, 17, 24, 46, 47, 50, 59, 89, 97]
13: [0, 4, 4, 15, 16, 16, 36, 52, 69, 76]
14: [6, 17, 23, 37, 41, 41, 42, 45, 49, 83]
15: [10, 16, 20, 39, 43, 45, 47, 58, 83, 95]
16: [6, 23, 45, 46, 56, 66, 71, 74, 81, 99]
17: [8, 10, 18, 28, 32, 33, 54, 78, 83, 93]
18: [1, 9, 29, 41, 48, 48, 51, 69, 69, 79]
19: [17, 23, 40, 40, 58, 59, 67, 92, 93, 95]
20: [0, 3, 17, 34, 40, 40, 55, 56, 83, 99]
21: [8, 12, 16, 25, 25, 27, 36, 60, 73, 78]
22: [4, 5, 9, 15, 30, 36, 49, 58, 61, 62]
23: [2, 5, 13, 21, 50, 51, 82, 86, 87, 94]
24: [2, 40, 41, 45, 49, 54, 55, 61, 86, 89]
25: [0, 7, 30, 49, 67, 70, 73, 81, 88, 88]
26: [1, 13, 17, 48, 49, 51, 55, 59, 61, 67]
27: [14, 15, 24, 26, 44, 45, 50, 51, 75, 91]
28: [8, 22, 33, 61, 79, 85, 86, 89, 92, 97]
29: [4, 8, 29, 47, 49, 53, 58, 59, 71, 98]
30: [1, 9, 15, 33, 35, 44, 60, 77, 89, 94]
31: [8, 13, 14, 21, 26, 42, 44, 56, 56, 82]
32: [8, 16, 19, 26, 51, 64, 87, 95, 96, 99]
33: [16, 19, 56, 57, 65, 65, 65, 80, 89, 97]
34: [2, 13, 25, 60, 77, 81, 82, 87, 99, 99]
35: [7, 8, 17, 31, 34, 39, 58, 78, 86, 86]
36: [11, 23, 26, 41, 56, 81, 87, 91, 97, 99]
37: [0, 19, 22, 38, 52, 76, 84, 86, 87, 94]
38: [6, 10, 31, 38, 45, 66, 81, 91, 94, 99]
39: [12, 32, 40, 44, 55, 56, 77, 79, 87, 88]
40: [20, 20, 38, 39, 48, 50, 68, 69, 76, 92]
41: [5, 28, 31, 40, 68, 69, 76, 79, 80, 86]
42: [15, 22, 43, 46, 56, 61, 62, 70, 76, 83]
43: [5, 21, 24, 26, 35, 42, 45, 51, 92, 99]
44: [4, 10, 18, 23, 39, 49, 51, 86, 95, 99]
45: [22, 23, 31, 34, 39, 47, 77, 88, 95, 96]
46: [5, 13, 14, 19, 41, 53, 64, 75, 98, 99]
47: [4, 9, 16, 22, 49, 59, 69, 76, 98, 98]
48: [4, 9, 13, 19, 32, 33, 75, 78, 78, 82]
